file_size	file_name	download_status
1029.86	281) Interview Session by LC Patnaik Sir - 030923.mp4	NOT_UPLOADED
1212.7	280) Topper's talk with Aayush Goel (Rank 171) - 040723.mp4	NOT_UPLOADED
Error processing file info: 'NoneType' object has no attribute 'startswith'
973.34	278) Topper's Talk with Vidushi Singh (Rank 13) - 240623.mp4	NOT_UPLOADED
Error processing file info: 'NoneType' object has no attribute 'startswith'
723.43	276) Topper's Talk by Tushar Kumar (Rank - 44) - 180623.mp4	NOT_UPLOADED
723.52	275) Topper's Talk with Kasturi Panda (Rank 67) - 170623.mp4	NOT_UPLOADED
812.23	274) Topper's Talk by Aditya Pandey Rank 48 - 150623.mp4	NOT_UPLOADED
460.46	273) Toppers Talk  by Khusboo Oberoi Rank 139 - 140623.mp4	NOT_UPLOADED
1042.89	272) Topper's Talk by Jatin Jain Rank 91 - 130623.mp4	NOT_UPLOADED
Error processing file info: 'NoneType' object has no attribute 'startswith'
Error processing file info: 'NoneType' object has no attribute 'startswith'
Error processing file info: 'NoneType' object has no attribute 'startswith'
Error processing file info: 'NoneType' object has no attribute 'startswith'
Error processing file info: 'NoneType' object has no attribute 'startswith'
Error processing file info: 'NoneType' object has no attribute 'startswith'
Error processing file info: 'NoneType' object has no attribute 'startswith'
756.72	264) Topper's Talk - 290523.mp4	NOT_UPLOADED
1030.7	263) International Relations Class 23 - 240923.mp4	NOT_UPLOADED
1043.59	262) International Relations Class 22 - 200923.mp4	NOT_UPLOADED
989.92	261) International Relations Class 21 - 190923.mp4	NOT_UPLOADED
988.18	260) International Relations Class 20 - 160923.mp4	NOT_UPLOADED
1094.08	259) International Relations Class 19 - 150923.mp4	NOT_UPLOADED
1070.05	258) International Relations Class 18 - 140923.mp4	NOT_UPLOADED
1076.33	257) International Relations Class 17 - 130923.mp4	NOT_UPLOADED
1102.33	256) International Relations Class 16 - 120923.mp4	NOT_UPLOADED
1050.89	255) International Relations Class 15 - 050923.mp4	NOT_UPLOADED
1052.44	254) International Relations Class 14  - 040923.mp4	NOT_UPLOADED
1113.5	253) International Relations Class 13 - 020923.mp4	NOT_UPLOADED
1123.5	252) International Relations Class 12 - 010923.mp4	NOT_UPLOADED
1107.55	251) International Relations Class 11 - 290823.mp4	NOT_UPLOADED
1125.55	250) International Relations Class 10 - 280823.mp4	NOT_UPLOADED
1056.41	249) International Relations Class 09 - 240823.mp4	NOT_UPLOADED
1093.23	248) International Relations Class 08 - 230823.mp4	NOT_UPLOADED
1131.92	247) International Relations Class 07 - 220823.mp4	NOT_UPLOADED
984.54	246) International Relations Class 06 - 210823.mp4	NOT_UPLOADED
1028.48	245) International Relations Class 05 - 200823.mp4	NOT_UPLOADED
1109.45	244) International Relations Class 04 - 190823.mp4	NOT_UPLOADED
1070.09	243) International Relations Class 03 - 180823.mp4	NOT_UPLOADED
1052.35	242) International Relations Class 02 - 170823.mp4	NOT_UPLOADED
1062.91	241) International Relations Class 01 - 160823.mp4	NOT_UPLOADED
717.05	240) Art & Culture Class 15 - 291223.mp4	NOT_UPLOADED
981.26	239) Art And Culture Class 14 - 281223.mp4	NOT_UPLOADED
740.14	238) Art and Culture Class 13 - 101223.mp4	NOT_UPLOADED
972.45	237) Art and Culture Class 12 - 091223.mp4	NOT_UPLOADED
952.67	236) Art and Culture Class 11 - 071223.mp4	NOT_UPLOADED
722.15	235) Art and Culture Class 10 - 061223.mp4	NOT_UPLOADED
930.66	234) Art and Culture Class 09 - 051223.mp4	NOT_UPLOADED
923.75	233) Art and Culture Class 08 - 301123.mp4	NOT_UPLOADED
754.53	232) Art and Culture Class 07 - 291123.mp4	NOT_UPLOADED
968.18	231) Art and Culture Class 06 - 281123.mp4	NOT_UPLOADED
945.77	230) Art and Culture Class 05 - 261123.mp4	NOT_UPLOADED
918.91	229) Art and Culture Class 04 - 251123.mp4	NOT_UPLOADED
952.27	228) Art and Culture Class 03 - 231123.mp4	NOT_UPLOADED
933.44	227) Art and Culture Class 02 - 171123.mp4	NOT_UPLOADED
1034.53	226) Art and Culture Class 01 - 141123.mp4	NOT_UPLOADED
719.11	225) How to Read Newspaper Class - 141022.mp4	NOT_UPLOADED
1258.56	224) Modern Indian History Class 36 - 300123.mp4	NOT_UPLOADED
1314.78	223) Modern Indian History Class 35 - 280123.mp4	NOT_UPLOADED
1303.8	222) Modern Indian History Class 34 - 250123.mp4	NOT_UPLOADED
1267.15	221) Modern Indian History Class 33 - 190123.mp4	NOT_UPLOADED
1212.96	220) Modern Indian History Class 32 - 180123.mp4	NOT_UPLOADED
1237.01	219) Modern Indian History Class 31 - 120123.mp4	NOT_UPLOADED
1259.1	218) Modern Indian History Class 30 - 110123.mp4	NOT_UPLOADED
1213.71	217) Modern Indian History Class 29 - 100123.mp4	NOT_UPLOADED
1257.72	216) Modern Indian History Class 28 - 060123.mp4	NOT_UPLOADED
1242.64	215) Modern Indian History Class 27 - 050123.mp4	NOT_UPLOADED
1147.94	214) Modern Indian History Class 26 - 301222.mp4	NOT_UPLOADED
1127.1	213) Modern Indian History Class 25 - 271222.mp4	NOT_UPLOADED
1175.33	212) Modern Indian History Class 24 - 241222.mp4	NOT_UPLOADED
1270.86	211) Modern Indian History Class 23 - 231222.mp4	NOT_UPLOADED
1058.66	210) Modern Indian History Class 22 - 161222.mp4	NOT_UPLOADED
1213.29	209) Modern Indian History Class 21 - 151222.mp4	NOT_UPLOADED
1245.19	208) Modern Indian History Class 20 - 141222.mp4	NOT_UPLOADED
1227.11	207) Modern Indian History Class 19 - 131222.mp4	NOT_UPLOADED
1141.41	206) Modern Indian History Class 18 - 081222.mp4	NOT_UPLOADED
1143.85	205) Modern Indian History Class 17 - 071222.mp4	NOT_UPLOADED
1155.43	204) Modern Indian History Class 16 - 051222.mp4	NOT_UPLOADED
1109.13	203) Modern Indian History Class 15 - 031222.mp4	NOT_UPLOADED
1154.61	202) Modern Indian History Class 14 - 011222.mp4	NOT_UPLOADED
1173.09	201) Modern Indian History Class 13 - 291122.mp4	NOT_UPLOADED
901.2	200) Modern Indian History Class 12 - 261122.mp4	NOT_UPLOADED
892.09	199) Modern Indian History Class 11 - 251122.mp4	NOT_UPLOADED
893.85	198) Modern Indian History Class 10 - 231122.mp4	NOT_UPLOADED
911.71	197) Modern Indian History Class 09 - 181122.mp4	NOT_UPLOADED
880.99	196) Modern Indian History Class 08 - 171122.mp4	NOT_UPLOADED
934.17	195) Modern Indian History Class 07 - 151122.mp4	NOT_UPLOADED
894.89	194) Modern Indian History Class 06 - 141122.mp4	NOT_UPLOADED
901.13	193) Modern Indian History Class 05 - 121122.mp4	NOT_UPLOADED
844.22	192) Modern Indian History Class 04 - 111122.mp4	NOT_UPLOADED
903.6	191) Modern Indian History Class 03 - 101122.mp4	NOT_UPLOADED
898.12	190) Modern Indian History Class 02 - 041122.mp4	NOT_UPLOADED
888.24	189) Modern Indian History Class 01 - 031122.mp4	NOT_UPLOADED
1069.71	188) Geography Class 46 - 180723.mp4	NOT_UPLOADED
1089.08	187) Geography Class 45 - 170723.mp4	NOT_UPLOADED
979.2	186) Geography Class 44 - 140723.mp4	NOT_UPLOADED
954.98	185) Geography Class 43 - 050723.mp4	NOT_UPLOADED
1009.7	184) Geography Class 42 - 260623.mp4	NOT_UPLOADED
1020.39	183) Geography Class 41 - 140623.mp4	NOT_UPLOADED
1002.34	182) Geography Class 40 - 110623.mp4	NOT_UPLOADED
1022.39	181) Geography Class 39 - 100623.mp4	NOT_UPLOADED
